index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,chokurdakh,70.6333,147.9167,55.26,35,16,8.88,RU,1627954432
201,itarema,-2.9248,-39.9167,75.18,80,14,4.27,BR,1627954792
202,bainbridge,47.6262,-122.5212,90.3,49,1,3,US,1627954794
203,rundu,-17.9333,19.7667,51.84,44,0,4.12,NA,1627954795
204,marsh harbour,26.5412,-77.0636,82.65,69,100,10.8,BS,1627954797
205,inongo,-1.95,18.2667,69.08,59,98,3.47,CD,1627954798
206,port hedland,-20.3167,118.5667,68.05,17,38,20.71,AU,1627954353
207,camacha,33.0833,-16.3333,69.53,83,40,14.97,PT,1627954407
208,paralimni,35.0375,33.9833,87.12,38,0,4,CY,1627954805
209,mazsalaca,57.8633,25.0547,55.99,97,4,6.2,LV,1627954806
210,malindi,-3.2175,40.1191,73.53,82,69,10.13,KE,1627954808
211,voh,-20.9667,164.7,77.14,42,0,5.99,NC,1627954809
212,pangnirtung,66.1451,-65.7125,44.42,91,100,3.94,CA,1627954390
214,beringovskiy,63.05,179.3167,44.19,94,100,8.66,RU,1627954426
215,linxia,35.6003,103.2064,58.68,91,100,3.15,CN,1627954816
216,yamada,39.4667,141.95,85.28,71,99,12.44,JP,1627954817
217,muscat,23.6139,58.5922,89.62,70,41,2.73,OM,1627954819
218,rawson,-43.3002,-65.1023,55.76,37,67,9.55,AR,1627954820
219,broken hill,-31.95,141.4333,49.71,71,6,20.71,AU,1627954822
220,petropavlovsk-kamchatskiy,53.0452,158.6483,59.59,63,75,6.71,RU,1627954769
221,te anau,-45.4167,167.7167,45.45,77,55,2.19,NZ,1627954429
222,griffith,41.5284,-87.4237,73.33,63,90,3.44,US,1627954328
223,pisco,-13.7,-76.2167,62.65,82,90,11.5,PE,1627954389
224,talnakh,69.4865,88.3972,76.35,43,98,5.7,RU,1627954410
225,sioux lookout,50.1001,-91.917,73.78,56,75,3.44,CA,1627954366
227,alvinopolis,-20.1067,-43.0489,55.02,76,7,1.99,BR,1627954833
228,teahupoo,-17.8333,-149.2667,76.96,72,62,12.21,PF,1627954834
230,srednekolymsk,67.45,153.6833,54.3,42,14,12.82,RU,1627954518
231,hofn,64.2539,-15.2082,52.95,85,100,7.25,IS,1627954452
232,kozluk,38.1938,41.4885,73.65,48,0,9.89,TR,1627954840
233,blackwater,-23.5833,148.8833,77.31,28,8,8.39,AU,1627954841
235,parabel,58.6978,81.4825,56.91,88,100,3.87,RU,1627954844
236,nelson bay,-32.7167,152.15,69.96,72,21,17.45,AU,1627954845
237,warmbad,-28.45,18.7333,59.47,24,0,12.75,NA,1627954847
238,ulaangom,49.9811,92.0667,70.59,35,3,3.27,MN,1627954848
239,waingapu,-9.6567,120.2641,84.74,62,68,13.82,ID,1627954446
240,sile,41.1754,29.6133,74.07,43,0,4.43,TR,1627954851
241,luka nad jihlavou,49.374,15.7019,55.87,94,8,3.15,CZ,1627954853
242,ucluelet,48.9329,-125.5528,92.05,75,0,1.99,CA,1627954294
243,hinche,19.15,-72.0167,76.42,92,89,4.61,HT,1627954856
244,upernavik,72.7868,-56.1549,47.14,68,95,6.2,GL,1627954434
245,mount gambier,-37.8333,140.7667,51.71,71,75,19.57,AU,1627954605
246,carutapera,-1.195,-46.02,74.03,91,7,3.42,BR,1627954860
247,nuuk,64.1835,-51.7216,49.87,87,90,2.3,GL,1627954861
248,dawson creek,55.7666,-120.2362,78.15,83,1,6.91,CA,1627954863
249,pekan,3.4836,103.3996,78.91,78,100,5.21,MY,1627954408
250,touros,-5.1989,-35.4608,72.5,86,16,15.17,BR,1627954866
251,olinda,-8.0089,-34.8553,71.33,94,75,5.75,BR,1627954867
252,la orilla,17.9833,-102.2333,81.37,81,35,5.79,MX,1627954869
253,tobe,33.7447,132.7901,89.65,65,75,5.75,JP,1627954870
255,sovetskiy,61.3614,63.5842,62.15,73,46,4.83,RU,1627954527
256,alenquer,-1.9417,-54.7383,75.54,66,89,3.76,BR,1627954412
257,sayyan,15.1718,44.3244,62.26,64,98,5.88,YE,1627954876
258,manadhoo,5.7667,73.3833,82.13,72,100,6.51,MV,1627954877
259,abha,18.2164,42.5053,64.22,82,0,3.44,SA,1627954879
260,hamilton,39.1834,-84.5333,72.23,70,1,3.44,US,1627954438
261,kutum,14.2,24.6667,72.45,69,39,13.87,SD,1627954882
262,esperance,-33.8667,121.9,51.64,74,72,15.86,AU,1627954373
263,leningradskiy,69.3833,178.4167,33.1,100,100,9.4,RU,1627954401
264,svetlaya,46.5389,138.3297,64.6,91,100,12.15,RU,1627954886
265,luwuk,-0.9516,122.7875,85.39,63,31,6.96,ID,1627954887
266,oktyabrskiy,54.4815,53.471,69.66,51,37,5.01,RU,1627954889
267,zlobin,45.2924,14.6541,63.7,79,0,5.75,HR,1627954890
268,pemangkat,1.1667,108.9667,82.98,74,84,7.07,ID,1627954892
269,la primavera,5.4906,-70.4092,72.95,85,100,6.64,CO,1627954893
270,alofi,-19.0595,-169.9187,71.49,26,75,5.75,NU,1627954432
271,healdsburg,38.6105,-122.8692,91.53,43,40,4,US,1627954896
272,kasongo-lunda,-6.4667,16.8167,66.79,32,47,1.57,CD,1627954898
273,mandera,3.9366,41.867,74.84,58,99,14.7,KE,1627954453
274,santiago del estero,-27.7951,-64.2615,58.62,34,0,6.98,AR,1627954299
275,yabrud,33.9674,36.6574,66.52,37,0,1.61,SY,1627954902
276,jinchang,38.4953,102.1739,72.07,41,99,5.88,CN,1627954903
277,mongomo,1.6274,11.3135,66.9,99,100,2.82,GQ,1627954905
278,port lincoln,-34.7333,135.8667,55.49,54,68,17.85,AU,1627954478
280,orsha,54.5153,30.4053,55.02,98,43,9.8,BY,1627954909
282,ulaanbaatar,47.9077,106.8832,60.93,77,40,2.24,MN,1627954857
283,vanimo,-2.6741,141.3028,85.96,69,50,8.75,PG,1627954410
284,riyadh,24.6877,46.7219,86.14,12,28,5.23,SA,1627954507
285,ostersund,63.1792,14.6357,46.85,76,90,10.36,SE,1627954244
286,dingle,10.9995,122.6711,86.81,67,100,16.04,PH,1627954375
287,sitka,57.0531,-135.33,62.49,72,75,0,US,1627954405
288,coahuayana,18.7333,-103.6833,87.28,85,85,2.37,MX,1627954402
289,ilulissat,69.2167,-51.1,44.62,87,100,2.3,GL,1627954396
291,north bend,43.4065,-124.2243,62.92,88,90,11.5,US,1627954923
292,korla,41.7597,86.1469,82.74,15,99,7.81,CN,1627954925
293,verkhoyansk,67.5447,133.385,73.81,27,0,4.99,RU,1627954926
294,isangel,-19.55,169.2667,75.31,64,20,11.5,VU,1627954374
295,filadelfia,39.9523,-75.1638,73.65,69,20,5.75,US,1627954752
296,sokoni,-6.4333,39.55,70.09,79,74,12.97,TZ,1627954931
297,giresun,40.5,38.5,45.72,94,98,5.12,TR,1627954932
298,katsuura,35.1333,140.3,87.91,75,46,10.69,JP,1627954311
299,akyab,20.15,92.9,79.29,88,100,8.55,MM,1627954359
300,vizinga,61.0749,50.1031,61.68,82,100,4.25,RU,1627954936
301,provideniya,64.3833,-173.3,53.71,82,90,13.42,RU,1627954333
303,sandur,15.1,76.55,71.58,84,100,19.55,IN,1627954940
304,dongsheng,39.8161,109.9776,65.82,66,100,14.14,CN,1627954513
305,yerbogachen,61.2767,108.0108,71.42,54,100,3.36,RU,1627954943
306,mbumi,-7.9058,39.2105,66.92,93,38,1.43,TZ,1627954945
307,araouane,18.9048,-3.5265,94.53,34,25,8.05,ML,1627954460
308,keti bandar,24.1447,67.4497,81.63,80,100,19.22,PK,1627954947
309,wanning,18.8003,110.3967,87.87,67,99,7.43,CN,1627954949
310,zahirabad,17.6833,77.6167,73.78,76,97,13.58,IN,1627954950
311,mindelo,16.8901,-24.9804,76.55,78,40,11.5,CV,1627954952
313,zlitan,32.4674,14.5687,81.55,58,0,5.5,LY,1627954955
314,kruisfontein,-34.0033,24.7314,48.29,90,0,7.05,ZA,1627954291
315,bredasdorp,-34.5322,20.0403,52.29,93,8,3.44,ZA,1627954403
316,darhan,49.4867,105.9228,61.21,83,100,12.03,MN,1627954959
317,coihaique,-45.5752,-72.0662,36.57,97,23,7.29,CL,1627954359
318,porto belo,-27.1578,-48.5531,60.78,88,8,6.4,BR,1627954962
319,harper,4.375,-7.7169,75.36,78,22,5.17,LR,1627954963
321,balaguer,41.7912,0.8109,68.16,88,10,5.91,ES,1627954966
322,kijang,35.2442,129.2139,83.93,64,100,8.32,KR,1627954967
323,prainha,-1.8,-53.48,76.6,71,90,2.44,BR,1627954969
324,ayagoz,47.9714,80.4392,81.52,27,3,6.85,KZ,1627954970
325,oussouye,12.485,-16.5469,77.05,88,99,9.89,SN,1627954972
326,manavalakurichi,8.1333,77.3,78.89,79,100,13.91,IN,1627954973
327,tautira,-17.7333,-149.15,82.42,71,85,11.36,PF,1627954530
328,adrar,20.5022,-10.0711,90.59,37,35,14.56,MR,1627954433
329,tiznit,29.5833,-9.5,64.89,78,7,1.25,MA,1627954978
330,halifax,44.6453,-63.5724,59.05,91,89,1.01,CA,1627954869
332,okhotsk,59.3833,143.3,59.22,61,100,10.87,RU,1627954458
333,ishigaki,24.3448,124.1572,86.13,79,75,9.22,JP,1627954983
334,port moresby,-9.4431,147.1797,83.62,65,40,5.75,PG,1627954935
335,galion,40.7337,-82.7899,69.01,75,0,5.93,US,1627954986
336,lata,40.1629,-8.3327,60.04,93,92,0.36,PT,1627954436
338,chapais,49.7834,-74.8492,62.38,76,100,7.36,CA,1627954459
339,cayenne,4.9333,-52.3333,78.1,87,63,1.14,GF,1627954246
340,cabo san lucas,22.8909,-109.9124,95.5,60,20,10,MX,1627954244
341,saldanha,-33.0117,17.9442,48.25,66,0,4.03,ZA,1627954994
342,sur,22.5667,59.5289,86.83,58,72,8.25,OM,1627954995
343,makakilo city,21.3469,-158.0858,86.32,46,20,10.36,US,1627954997
344,dali,25.7,100.1833,71.73,69,0,1.43,CN,1627954535
345,cape coast,5.1053,-1.2466,75.33,89,91,6.49,GH,1627955000
347,shenjiamen,29.9576,122.298,78.98,92,100,9.51,CN,1627955002
348,brawley,32.9787,-115.5303,115.48,9,75,4.61,US,1627955004
349,oranjestad,12.524,-70.027,82.35,78,20,20.71,AW,1627954835
